Index,Region,LegislativeDistrict,Municipality,DistrictEngineeringOffice,ProjectID,ProjectDescription,TypeofWork,FundingYear,ContractID,ABC_String,ContractCost_String,CompletionDateActual,Contractor,StartDate,Latitude,Longitude,ContractCost,Turnaround Time (Days)
618,Region VII,CEBU (FOURTH LEGISLATIVE DISTRICT),Not Specified,Cebu 4th District Engineering Office,P00521564VS,"Rehabilitation of Flood Control along Balidbid River, Santa Fe, Cebu",Rehabilitation / Major Repair of Flood Control Structure,2021,21HD0054,88550330,88550330,2022-09-05,WTG CONSTRUCTION & DEVELOPMENT CORPORATION / ROVILLA CONSTRUCTION,2021-12-31,11.18019,123.78173,88550330.0,248
619,Region IV-B,ROMBLON (LEGISLATIVE DISTRICT),Not Specified,Romblon District Engineering Office,P00561578LZ,"Construction of Cabulutan Flood Control, Cabulutan, San Agustin,Romblon",Construction of Flood Mitigation Structure,2021,21E00076,Clustered with Contract ID 21E00079,48235589.63,2022-12-22,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),2022-03-24,12.283,122.0,48235589.63,273
620,Region IV-B,ROMBLON (LEGISLATIVE DISTRICT),Not Specified,Romblon District Engineering Office,P00561447LZ,"Construction of Tuburan Flood Control, Tuburan, Odiongan, Romblon",Construction of Flood Mitigation Structure,2021,21E00079,173698678.77,86765881.53,2022-12-20,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION) / FFJJ CONSTRUCTION,2022-03-24,12.351,122.026,86765881.53,271
621,Region IV-B,ROMBLON (LEGISLATIVE DISTRICT),Not Specified,Romblon District Engineering Office,P00561448LZ,"Construction of Tuguis Flood Control along Looc (Cogon-Tulay) Odiongan Road, Brgy Progreso Este, Odiongan, Romblon",Construction of Flood Mitigation Structure,2021,21E00079,Clustered with Contract ID 21E00079,86802582.54,2022-12-20,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION) / FFJJ CONSTRUCTION,2022-03-24,12.452,122.026,86802582.54,271
622,Region IV-B,ORIENTAL MINDORO (FIRST LEGISLATIVE DISTRICT),Not Specified,Mindoro Oriental District Engineering Office,P00525656LZ,"Construction/Rehabilitation of San Andres Putik (Mag-asawang Tubig), Naujan, Oriental Mindoro",Construction of Flood Mitigation Structure,2021,21E00050,48249214.78,48249999.78,2022-07-29,TCSC CORP. / EFREN RAMIREZ CONSTRUCTION AND GENERAL SERVICES CORPORATION,2021-03-30,13.134925,121.166378,48249999.78,486
623,Region II,CAGAYAN (SECOND LEGISLATIVE DISTRICT),Not Specified,Cagayan 2nd District Engineering Office,P00538188LZ,"Restoration of Sicalao Flood Control, Sicalao, Lasam, Cagayan",Rehabilitation / Major Repair of Flood Control Structure,2021,21BC0210,21287900,21287900,2022-09-30,NC RODRIGUEZ CONSTRUCTION,2021-10-29,18.04361111,121.48083333,21287900.0,336
624,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),Not Specified,Albay 1st District Engineering Office,P00538311LZ,"Reconstruction/ Rehabilitation/ Improvement of Bogñabong River Control at Brgy. Bogñabong, Tabaco City, Albay",Rehabilitation / Major Repair of Flood Control Structure,2021,21FA0059,37693122.07,3874835.79,2022-07-27,ROLCO CONSTRUCTION & DEVELOPMENT CORPORATION ( FOR,2022-03-21,13.340833,123.712207,3874835.79,128
625,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),Not Specified,Albay 1st District Engineering Office,P00538312LZ,"Rehabilitation/ Improvement of Salvacion Fatima River Control, Tabaco City, Albay Sta. 0+000.00 - Sta. 0+020.00",Rehabilitation / Major Repair of Flood Control Structure,2021,21FA0059,Clustered with Contract ID 21FA0059,2399955,2022-07-27,ROLCO CONSTRUCTION & DEVELOPMENT CORPORATION ( FOR,2022-03-21,13.348055,123.735555,2399955.0,128
626,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),Not Specified,Albay 1st District Engineering Office,P00538313LZ,"Repair/ Rehabilitation of Flood Control at Purok 4, San Jose, Malilipot, Albay Sta. 0+000.00 - Sta. 0+176.00",Rehabilitation / Major Repair of Flood Control Structure,2021,21FA0059,Clustered with Contract ID 21FA0059,5003525,2022-07-27,ROLCO CONSTRUCTION & DEVELOPMENT CORPORATION ( FOR,2022-03-21,13.29817,123.753948,5003525.0,128
627,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),Not Specified,Albay 1st District Engineering Office,P00538314LZ,"Reconstruction/ Rehabilitation of Slope Protection at Labnig, Malinao, Albay",Rehabilitation / Major Repair of Slope Protection Structure,2021,21FA0059,Clustered with Contract ID 21FA0059,6697100,2022-07-27,ROLCO CONSTRUCTION & DEVELOPMENT CORPORATION ( FOR,2022-03-21,13.379368,123.674638,6697100.0,128
628,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),Not Specified,Albay 1st District Engineering Office,P00538315LZ,"Reconstruction/ Rehabilitation of Slope Protection at Pawa, Malinao, Albay",Rehabilitation / Major Repair of Slope Protection Structure,2021,21FA0059,Clustered with Contract ID 21FA0059,6899750,2022-07-27,ROLCO CONSTRUCTION & DEVELOPMENT CORPORATION ( FOR,2022-03-21,13.383697,123.701777,6899750.0,128
629,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),Not Specified,Albay 1st District Engineering Office,P00538316LZ,"Rehabilitation of Awang River Control (Upstream), Malinao, Albay, Site 2",Rehabilitation / Major Repair of Flood Control Structure,2021,21FA0059,Clustered with Contract ID 21FA0059,7956425,2022-07-27,ROLCO CONSTRUCTION & DEVELOPMENT CORPORATION ( FOR,2022-03-21,13.375833,123.689682,7956425.0,128
630,Region V,ALBAY (FIRST LEGISLATIVE DISTRICT),Not Specified,Albay 1st District Engineering Office,P00538317LZ,"Repair/ Rehabilitation of Flood Control at Purok 4, Bangkilingan, Tabaco City, Albay",Rehabilitation / Major Repair of Flood Control Structure,2021,21FA0059,Clustered with Contract ID 21FA0059,4861781.05,2022-07-27,ROLCO CONSTRUCTION & DEVELOPMENT CORPORATION ( FOR,2022-03-21,13.340833,123.712222,4861781.05,128
631,Region VI,NEGROS OCCIDENTAL (SIXTH LEGISLATIVE DISTRICT),Not Specified,Negros Occidental 3rd District Engineering Office,P00538308VS,"Repair/ Rehabilitation/ Reconstruction of Flood Mitigation Structure damaged by Typhoon Odette along Hilabangan River, Kabankalan City, Negros Occidental",Rehabilitation / Major Repair of Slope Protection Structure,2021,22GM0067,5928072.01,5904535.77,2022-07-14,"ST. RAYMUND CONSTRUCTION, INC.",2022-04-13,9.955,122.83222,5904535.77,92
677,Region IV-B,PALAWAN (SECOND LEGISLATIVE DISTRICT),Not Specified,Palawan 2nd District Engineering Office,P00526167LZ,"Construction of Narra Poblacion Flood Control Structure, Narra, Palawan",Construction of Flood Mitigation Structure,2021,21EF0094,30354520,30353588.62,2022-08-01,SYNDTITE CONSTRUCTION CORPORATION (FORMERLY: R.C. TAGALA CONSTRUCTION),2021-04-13,9.26332,118.401385,30353588.62,475
702,Region I,ILOCOS SUR (SECOND LEGISLATIVE DISTRICT),Not Specified,Ilocos Sur 2nd District Engineering Office,P00561481LZ,"Construction of Cabugao Flood Control, Barangay Cabugao, Suyo, Ilocos Sur",Construction of Flood Mitigation Structure,2021,21AD0029,9800000,9799946.61,2022-12-01,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,2021-10-11,16.959872,120.494533,9799946.61,416
734,Region I,ILOCOS SUR (SECOND LEGISLATIVE DISTRICT),Not Specified,Ilocos Sur 2nd District Engineering Office,P00561480LZ,"Construction of Burgos Flood Control (Phase II), Burgos, Ilocos Sur",Construction of Flood Mitigation Structure,2021,21AD0045,9800000,9799963.07,2022-09-07,MRK-SQUARE CONSTRUCTION AND SUPPLY,2021-10-11,17.316321,120.506405,9799963.07,331
748,Cordillera Administrative Region,ABRA (LEGISLATIVE DISTRICT),Not Specified,Abra District Engineering Office,P00561500LZ,"Construction of Mausoc - Labaan Flood Control Structure, Sta. 0+000 - Sta. 0+500, San Quintin, Abra",Construction of Flood Mitigation Structure,2021,21PA0247,49000000,48997244.21,2022-09-07,R.A. FANGLAYAN (RAF) GENERAL CONSTRUCTION INC. (FORMERLY:RAF GENERAL CONSTRUCTION),2022-01-07,17.537806,120.512196,48997244.21,243
758,Region I,ILOCOS SUR (SECOND LEGISLATIVE DISTRICT),Not Specified,Ilocos Sur 2nd District Engineering Office,P00525872LZ,"Construction of Alilem Flood Control, Alilem, Ilocos Sur",Construction of Flood Mitigation Structure,2021,21AD0063,19600000,18815968.03,2022-12-02,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,2021-10-11,16.90222222,120.5163889,18815968.03,417
799,Region I,ILOCOS SUR (SECOND LEGISLATIVE DISTRICT),Not Specified,Ilocos Sur 2nd District Engineering Office,P00561479LZ,"Construction of Atabay River Control, Barangay Atabay, Salcedo, Ilocos Sur",Construction of Flood Mitigation Structure,2021,21AD0048,19800000,19599899.56,2022-08-31,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,2021-10-11,17.134378,120.530451,19599899.56,324
831,Region I,LA UNION (SECOND LEGISLATIVE DISTRICT),Not Specified,La Union 2nd District Engineering Office,P00525547LZ,"Construction of Flood Control Structures along Principe River, Brgy.San Vicente Sur, San Vicente Norte and Sta. Rita Sur, Agoo, La Union",Construction of Flood Mitigation Structure,2021,21AF0030,67549999.97,66702855.9,2022-10-24,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),2021-11-15,16.343036,120.344123,66702855.9,343
843,Region I,ILOCOS SUR (FIRST LEGISLATIVE DISTRICT),Not Specified,Ilocos Sur 1st District Engineering Office,P00525864LZ,"Construction of Flood Control, Paratong-Subec Creek, Brgy. Paratong-Subec, Sta. Catalina, Ilocos Sur",Construction of Revetment,2021,21AC0011,24500000,24500000,2022-12-28,LEZA  CONSTRUCTION & SUPPLY,2022-02-24,17.58591,120.347067,24500000.0,307
860,Region III,TARLAC (SECOND LEGISLATIVE DISTRICT),Not Specified,Tarlac District Engineering Office,P00561142LZ,"Construction of Road Slope Protection along Tarlac-Palauig Road, San Jose, Tarlac (Phase 4)",Construction of Slope Protection Structure,2021,21CJ0074,67550000,56776877.63,2022-11-27,"R-II BUILDERS, INC.",2022-03-30,15.508167,120.35458,56776877.63,242
862,Region III,TARLAC (SECOND LEGISLATIVE DISTRICT),Not Specified,Tarlac District Engineering Office,P00561141LZ,"Construction of Road Slope Protection along Tarlac-Palauig Road, San Jose, Tarlac (Phase 3)",Construction of Slope Protection Structure,2021,21CJ0073,67550000,64172013.74,2022-09-25,"R-II BUILDERS, INC.",2022-03-30,15.508142,120.355153,64172013.74,179
946,Region I,ILOCOS SUR (FIRST LEGISLATIVE DISTRICT),Not Specified,Ilocos Sur 1st District Engineering Office,P00525863LZ,"Construction of Flood Control along Bical River, Barangay Guimod, San Juan, Ilocos Sur",Construction of Flood Mitigation Structure,2021,21AC0165,29400000,29400000,2022-12-19,R.B. PANO CONSTRUCTION CORP. (FORMERLY: R.B. PANO CONSTRUCTION AND SUPPLY),2022-06-02,17.722933,120.444998,29400000.0,200
953,Region I,ILOCOS SUR (FIRST LEGISLATIVE DISTRICT),Not Specified,Ilocos Sur 1st District Engineering Office,P00525861LZ,"Construction of Flood Control along Cabugao River, Brgy. Baclig, Cabugao, Ilocos Sur",Construction of Revetment,2021,21AC0022,49000000,49000000,2022-10-18,NORTH TECH BUILDERS AND CONSTRUCTION SUPPLY,2022-02-24,17.80038333,120.4461667,49000000.0,236
985,Region I,ILOCOS SUR (SECOND LEGISLATIVE DISTRICT),Not Specified,Ilocos Sur 2nd District Engineering Office,P00525877LZ,"Completion of Bagani Ubbog-San Juan-San Antonio Drainage Canal, Candon City, Ilocos Sur",Construction of Drainage Structure,2021,21AD0038,34300000,34299202.57,2022-08-30,E.E. MADAYAG CONSTRUCTION,2021-10-19,17.194823,120.453902,34299202.57,315
1063,Cordillera Administrative Region,BENGUET (LEGISLATIVE DISTRICT),Not Specified,Benguet 1st District Engineering Office,P00525553LZ,"Construction of Flood Mitigation Structure within Naguillian River Basin: along Naguillian River Section 2 (Bolo Creek), Sta. 055 + 820 - Sta. 056 + 780, La Trinidad, Benguet",Construction of Flood Mitigation Structure,2021,21PE0056,81078319.98,80869305.14,2022-12-20,KVC CONSTRUCTION / UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,2021-06-23,16.464227,120.587735,80869305.14,545
1098,Cordillera Administrative Region,BAGUIO CITY (LEGISLATIVE DISTRICT),Not Specified,Baguio City District Engineering Office,P00525552LZ,"Construction of Flood Mitigation Facilities/ Drainage System along Lake Drive 1 to Juan Luna Drive, Sta 0+000- Sta 0+335 (LS), Baguio City",Construction of Flood Mitigation Structure,2021,21PD0031,51660310,51660310,2022-10-27,GOLDRICH CONSTRUCTION & TRADING,2022-04-11,16.411644,120.592955,51660310.0,199
1104,Region III,PAMPANGA (SECOND LEGISLATIVE DISTRICT),Not Specified,Pampanga 2nd District Engineering Office,P00526038LZ,"Construction of Slope Protection, Sta. 00+000 - Sta. 0+460 along GPDC, San Jose Gumi, Lubao, Pampanga",Construction of Slope Protection Structure,2021,21CH0040,48999870.69,48244588.77,2022-08-24,OMICRON CONSTRUCTION,2022-03-09,14.873542,120.593531,48244588.77,168
1116,Region I,ILOCOS SUR (SECOND LEGISLATIVE DISTRICT),Not Specified,Ilocos Sur 2nd District Engineering Office,P00525873LZ,"Construction of Sugpon Flood Control, Sugpon, Ilocos Sur",Construction of Flood Mitigation Structure,2021,21AD0066,9800000,9799998.61,2022-08-31,A.I.P. CONSTRUCTION,2021-10-11,16.825868,120.53108,9799998.61,324
1165,Cordillera Administrative Region,ABRA (LEGISLATIVE DISTRICT),Not Specified,Abra District Engineering Office,P00561497LZ,"Construction of Gucab - Demet Flood Control, La Paz, Abra",Construction of Flood Mitigation Structure,2021,21PA0220,48999808.84,48997500,2022-07-12,ST. TIMOTHY CONSTRUCTION CORPORATION,2022-01-07,17.66798,120.680061,48997500.0,186
1194,Cordillera Administrative Region,BENGUET (LEGISLATIVE DISTRICT),Not Specified,Benguet 2nd District Engineering Office,P00561462LZ,"Construction of Naguey Flood Control, Atok, Benguet",Construction of Flood Mitigation Structure,2021,21P00050,96493651,96500000,2022-09-03,4RMCONSTRUCTION & SUPPLIES / R.S. SEPIAN CONSTRUCTION & TRUCKING,2022-01-07,16.60064,120.68643,96500000.0,239
1200,Region III,PAMPANGA (SECOND LEGISLATIVE DISTRICT),Not Specified,Pampanga 2nd District Engineering Office,P00526024LZ,"Construction of Slope Protection along Porac River, Paguiruan Section,  Floridablanca, Pampanga",Construction of Slope Protection Structure,2021,21CH0090,19599915.01,19594564.38,2022-08-17,ARROW CONSTRUCTION,2022-03-21,14.99121,120.53526,19594564.38,149
1232,Cordillera Administrative Region,BENGUET (LEGISLATIVE DISTRICT),Not Specified,Benguet 2nd District Engineering Office,P00525911LZ,"Construction of Kapangan Flood Control Sta. 8+241 - 8+374 (R.S.), Sta. 8+243 - 8+374 (L.S.),Kapangan, Benguet",Construction of Flood Mitigation Structure,2021,21PF0030,11649260,11489414.45,2022-12-02,FAMILY CIRCLE CONSTRUCTION,2022-03-13,16.573964,120.615931,11489414.45,264
1251,Region IV-B,OCCIDENTAL MINDORO (LEGISLATIVE DISTRICT),Not Specified,Mindoro Occidental District Engineering Office,P00561806LZ,"Construction of Flood Control, Brgy. San Luis, Mamburao, Occidental Mindoro",Construction of Flood Mitigation Structure,2021,21EB0139,2970000,2450991.9,2022-10-24,"ORIENT STAR CONSTRUCTION, INC. (FORMERLY: ORIENT S",2022-04-08,13.255189,120.618106,2450991.9,199
1267,Region III,TARLAC (SECOND LEGISLATIVE DISTRICT),Not Specified,Tarlac District Engineering Office,P00526052LZ,"Rehabilitation of Flood Control Structures along Tarlac River Control Left Dike, Sembrano-Sta. Lucia Section (Phase III), Gerona, Tarlac",Rehabilitation / Major Repair of Flood Control Structure,2021,21CJ0007,14700000,13967566.61,2022-07-24,ARCONIC INC.,2022-03-28,15.613498,120.542307,13967566.61,118
1329,Region III,PAMPANGA (SECOND LEGISLATIVE DISTRICT),Not Specified,Pampanga 2nd District Engineering Office,P00525588LZ,"Construction of Slope Protection, Angeles-Porac Bypass Road, Porac, Pampanga",Construction of Slope Protection Structure,2021,21CH0039,91578039.15,91558129.3,2022-12-11,TONKA CONSTRUCTION / FERDSTAR BUILDERS INC.,2022-04-11,15.109719,120.554973,91558129.3,244
1344,Region III,PAMPANGA (SECOND LEGISLATIVE DISTRICT),Not Specified,Pampanga 2nd District Engineering Office,P00526040LZ,"Construction of Slope Protection (with concreting of top of dike), GPDC San Pablo-Sta. Rita, Lubao",Construction of Flood Mitigation Structure,2021,21CH0089,29399284.76,29390737.33,2022-09-04,ARROW CONSTRUCTION,2022-03-09,14.919546,120.556813,29390737.33,179
1365,Cordillera Administrative Region,BENGUET (LEGISLATIVE DISTRICT),Not Specified,Benguet 2nd District Engineering Office,P00561460LZ,"Construction of Amburayan Flood Control, Kapangan, Benguet",Construction of Flood Mitigation Structure,2021,21P00084,96495738.04,96372298.9,2022-12-08,RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE / KALAHAN GENERAL CONSTRUCTION AND SUPPLIES,2022-01-07,16.61412,120.62813,96372298.9,335
1427,Region III,TARLAC (SECOND LEGISLATIVE DISTRICT),Not Specified,Tarlac District Engineering Office,P00526053LZ,"Rehabilitation of Flood Control Structures along Tarlac River Control Right Dike, Mlayep Section (Phase III), Malayep, Gerona, Tarlac",Rehabilitation / Major Repair of Flood Control Structure,2021,21CJ0008,44100000,41894120.84,2022-09-19,"R-II BUILDERS, INC.",2022-03-28,15.576403,120.574857,41894120.84,175
1534,Cordillera Administrative Region,BENGUET (LEGISLATIVE DISTRICT),Not Specified,Benguet 2nd District Engineering Office,P00561461LZ,"Construction of Ampusongan Flood Control, Bakun, Benguet",Construction of Flood Mitigation Structure,2021,21P00063,96487461.5,96500000,2023-03-15,TRYST BUILDERS ENTERPRISES / RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,2021-07-02,16.78286,120.72942,96500000.0,621
1609,Cordillera Administrative Region,ABRA (LEGISLATIVE DISTRICT),Not Specified,Abra District Engineering Office,P00561513LZ,"Construction of San Juan Sur Flood Control, Barangay San Juan Sur, Manabo, Abra",Construction of Flood Mitigation Structure,2021,21PA0224,48999958.81,48998000,2022-07-21,"PHESCO, INCORPORATED",2022-01-07,17.42287,120.70027,48998000.0,195
1613,Cordillera Administrative Region,ABRA (LEGISLATIVE DISTRICT),Not Specified,Abra District Engineering Office,P00561512LZ,"Construction of San Juan Flood Control, Manabo, Abra",Construction of Flood Mitigation Structure,2021,21PA0225,97999911.98,96498000,2022-10-01,"PHESCO, INCORPORATED",2021-12-28,17.42347,120.70073,96498000.0,277
1618,Region III,TARLAC (THIRD LEGISLATIVE DISTRICT),Not Specified,Tarlac 2nd District Engineering Office,P00561539LZ,"Rehabilitation of Existing Dike along Tinang River, (Left and Right Bank), Upstream of Sta. Monica Bridge, Concepcion, Tarlac",Rehabilitation / Major Repair of Flood Control Structure,2021,21CK0034,67549246.12,67548125.86,2023-04-22,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),2022-03-24,15.36632,120.70287,67548125.86,394
1628,Cordillera Administrative Region,ABRA (LEGISLATIVE DISTRICT),Not Specified,Abra District Engineering Office,P00561519LZ,"Construction of Malabbaga Flood Control, Sta. 58+300 - 58+800, La Paz, Abra",Construction of Flood Mitigation Structure,2021,21PA0233,29399855.69,29397900,2022-11-16,ST. TIMOTHY CONSTRUCTION CORPORATION,2022-03-29,17.67893,120.70491,29397900.0,232
1674,Cordillera Administrative Region,ABRA (LEGISLATIVE DISTRICT),Not Specified,Abra District Engineering Office,P00561504LZ,"Construction of Pantoc-Pakiling Flood Control, Bucay, Abra",Construction of Flood Mitigation Structure,2021,21PA0232,98000000,96497003.85,2022-09-24,ST. TIMOTHY CONSTRUCTION CORPORATION,2021-12-28,17.516497,120.713608,96497003.85,270
1675,Region I,ILOCOS NORTE (FIRST LEGISLATIVE DISTRICT),Not Specified,Ilocos Norte 1st District Engineering Office,P00525856LZ,"Construction/Improvement of River Control System (Phase II), Barangay Taguiporo, Bangui, Ilocos Norte",Construction of Flood Mitigation Structure,2021,21AA0098,9799929.29,9799889.76,2022-07-15,JLP CONSTRUCTION & SUPPLY (FORMERLY: JLP CONSTRUCT,2021-08-18,18.517951,120.713808,9799889.76,331
1677,Cordillera Administrative Region,ABRA (LEGISLATIVE DISTRICT),Not Specified,Abra District Engineering Office,P00561509LZ,"Construction of Pulot - Kiwas Flood Control, Lagayan, Abra",Construction of Flood Mitigation Structure,2021,21PA0221,98000000,96498000,2022-09-24,SEJ CONSTRUCTION & AGGREGATES / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),2021-12-28,17.73141,120.71412,96498000.0,270
1678,Cordillera Administrative Region,ABRA (LEGISLATIVE DISTRICT),Not Specified,Abra District Engineering Office,P00561502LZ,"Construction of Pagala Flood Control, Bucay, Abra",Construction of Flood Mitigation Structure,2021,21PA0254,97999827.95,96497238.95,2022-09-24,ST. TIMOTHY CONSTRUCTION CORPORATION,2021-12-28,17.557932,120.714198,96497238.95,270
1684,Cordillera Administrative Region,ABRA (LEGISLATIVE DISTRICT),Not Specified,Abra District Engineering Office,P00561506LZ,"Construction of Patoc-Dugong Flood Control, Bucay, Abra",Construction of Flood Mitigation Structure,2021,21PA0252,98000000,96497977.23,2022-09-26,"PHESCO, INCORPORATED",2021-12-28,17.454613,120.715788,96497977.23,272
1741,Region III,TARLAC (THIRD LEGISLATIVE DISTRICT),Not Specified,Tarlac 2nd District Engineering Office,P00526056LZ,"Construction of San Juan Creek, Barangay San Juan, Concepcion, Tarlac",Construction of Flood Mitigation Structure,2021,21CK0081,14699690.43,14028306.54,2022-09-20,P.C. PANOPIO CONSTRUCTION AND TRADING,2022-03-24,15.3448,120.6001,14028306.54,180
1898,Cordillera Administrative Region,ABRA (LEGISLATIVE DISTRICT),Not Specified,Abra District Engineering Office,P00561499LZ,"Construction of Manicbel Flood Control, Sallapadan, Abra",Construction of Flood Mitigation Structure,2021,21PA0226,97999929.55,96500000,2022-10-08,739 BUILDERS,2022-01-11,17.45582,120.76561,96500000.0,270
1900,Cordillera Administrative Region,BENGUET (LEGISLATIVE DISTRICT),Not Specified,Benguet 2nd District Engineering Office,P00561458LZ,"Construction of Baguyos Flood Control at Barangay Colalo, Mankayan, Benguet",Construction of Flood Mitigation Structure,2021,21P00065,96486192.7,96500000,2022-09-03,RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,2022-01-07,16.91813,120.76584,96500000.0,239
1916,Cordillera Administrative Region,ABRA (LEGISLATIVE DISTRICT),Not Specified,Abra District Engineering Office,P00561514LZ,"Construction of Sinalang Flood Control, Peñarrubia, Abra",Construction of Flood Mitigation Structure,2021,21PA0253,97999990,96497036.15,2022-07-28,ST. TIMOTHY CONSTRUCTION CORPORATION,2022-01-17,17.555281,120.6421683,96497036.15,192
1918,Region III,TARLAC (THIRD LEGISLATIVE DISTRICT),Not Specified,Tarlac 2nd District Engineering Office,P00526057LZ,"Rehabilitaiton of Existing Dike along Tinang Creek, Concepcion, Tarlac",Rehabilitation / Major Repair of Flood Control Structure,2021,21CK0086,14699370.29,14031745.6,2022-07-17,LAP GLOBAL CONSTRUCTION CORPORATION(FORMERLY LAP GLOBAL CONSTRUCTION),2022-03-24,15.38,120.6426,14031745.6,115
1931,Cordillera Administrative Region,ABRA (LEGISLATIVE DISTRICT),Not Specified,Abra District Engineering Office,P00561505LZ,"Construction of Patiao Flood Control, Peñarrubia, Abra",Construction of Flood Mitigation Structure,2021,21PA0242,97999951.72,96497024.03,2022-07-21,ST. TIMOTHY CONSTRUCTION CORPORATION,2022-01-13,17.5548233,120.6474033,96497024.03,189
1944,Cordillera Administrative Region,ABRA (LEGISLATIVE DISTRICT),Not Specified,Abra District Engineering Office,P00561520LZ,"Construction of Patiao Flood Control, Sta. 67+300 - 67+800, Peñarrubia, Abra",Construction of Flood Mitigation Structure,2021,21PA0244,29400000,29397162.42,2022-09-19,A.D. MARRERO GENERAL CONSTRUCTION,2022-03-29,17.54753,120.651686,29397162.42,174
1970,Cordillera Administrative Region,BENGUET (LEGISLATIVE DISTRICT),Not Specified,Benguet 2nd District Engineering Office,P00525914LZ,"Construction of Mayus Flood Control Sta. 0+158 - Sta. 0+278 (R.S.), Sta. 0+187 - Sta. 0+292 (L.S.), Kibungan, Benguet",Construction of Flood Mitigation Structure,2021,21PF0021,9800000,8704178.48,2022-09-02,AKIP CONSTRUCTION AND ENTERPRISE,2022-01-18,16.72285,120.662128,8704178.48,227
2054,Cordillera Administrative Region,BENGUET (LEGISLATIVE DISTRICT),Not Specified,Benguet 2nd District Engineering Office,P00561459LZ,"Construction of Baney Flood Control at Barangay Baculongan Sur, Buguias, Benguet",Construction of Flood Mitigation Structure,2021,21P00064,96496794.18,96500000,2022-12-03,JOMARCANN GENERAL CONSTRUCTION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),2022-01-07,16.752,120.85813,96500000.0,330
2132,Cordillera Administrative Region,ABRA (LEGISLATIVE DISTRICT),Not Specified,Abra District Engineering Office,P00561489LZ,"Construction of Botnong Flood Control, Tineg, Abra",Construction of Flood Mitigation Structure,2021,21PA0236,48999802.15,48997193.69,2022-10-05,R.A. FANGLAYAN (RAF) GENERAL CONSTRUCTION INC. (FORMERLY:RAF GENERAL CONSTRUCTION),2022-01-20,17.82361111,120.8041667,48997193.69,258
2137,Region I,ILOCOS NORTE (FIRST LEGISLATIVE DISTRICT),Not Specified,Ilocos Norte 1st District Engineering Office,P00526252LZ,"Construction of Flood Control Project along Bolo River Tributaries, Sitio Kamansiliten, Dampig, Pagudpud, Ilocos Norte",Construction of Flood Mitigation Structure,2021,21AA0082,81059648.98,81059647.56,2022-07-15,BLUE MOUNTAIN BUILDERS & GENERAL MDSE.(FOR. BLUE M,2021-12-24,18.535396,120.804481,81059647.56,203
2147,Cordillera Administrative Region,ABRA (LEGISLATIVE DISTRICT),Not Specified,Abra District Engineering Office,P00561517LZ,"Construction of Wayangan Flood Control, Tubo, Abra",Construction of Flood Mitigation Structure,2021,21PA0237,97999983.85,96496961.02,2022-11-21,739 BUILDERS,2021-12-28,17.45578,120.7669417,96496961.02,328
2176,National Capital Region,MALABON CITY (LEGISLATIVE DISTRICT),Not Specified,Malabon-Navotas District Engineering Office,P00525712LZ,"Construction of Riverwall and Road Dike along Batasan River (Phase 10), Brgy. Dampalit, Malabon City",Construction of Dike,2021,21OA0005,34789361,34790000,2022-09-19,JUSTBILT BUILDERS,2022-03-24,14.691779,120.926356,34790000.0,179
2202,Region III,BULACAN (SECOND LEGISLATIVE DISTRICT),Not Specified,Bulacan 1st District Engineering Office,P00525568LZ,"Construction of Flood Control Structures along Bocaue River, Bocaue, Bulacan",Construction of Flood Mitigation Structure,2021,21CC0292,96499775.9,96499940.4,2023-01-22,TOPNOTCH CATALYST BUILDERS INC.,2022-01-28,14.901418,120.771832,96499940.4,359
2213,Region III,BULACAN (FIRST LEGISLATIVE DISTRICT),Not Specified,Bulacan 1st District Engineering Office,P00561530LZ,"Rehabilitation/ Improvement with Revetment along Malolos River, Catmon to Caingin, Malolos, Bulacan",Rehabilitation / Major Repair of Flood Control Structure,2021,21CC0257,48999916.72,48998928.29,2022-09-10,PRECIOUS CONSTRUCTION,2022-01-14,14.843949,120.811377,48998928.29,239
